"measure","scenario","period","climset","strategy","value","value_hist"
"IGScottReach Mean Ann Fishing Days","HD",2030,"CMIP3","Reduce ET 50%",285.2667,274.7333
"IGScottReach Mean Ann Fishing Days","HD",2030,"CMIP5","Add 30KAF",286.6667,274.7333
"IGScottReach Mean Ann Fishing Days","HD",2030,"CMIP5","Baseline",287.5333,274.7333
"IGScottReach Mean Ann Fishing Days","HD",2030,"CMIP5","Reduce ET 30%",287.2333,274.7333
"IGScottReach Mean Ann Fishing Days","HD",2030,"CMIP5","Reduce ET 50%",286.7,274.7333
"IGScottReach Mean Ann Fishing Days","HW",2030,"CMIP3","Add 30KAF",265.5,274.7333
"IGScottReach Mean Ann Fishing Days","HW",2030,"CMIP3","Baseline",266.1,274.7333
"IGScottReach Mean Ann Fishing Days","HW",2030,"CMIP3","Reduce ET 30%",265.8333,274.7333
"IGScottReach Mean Ann Fishing Days","HW",2030,"CMIP3","Reduce ET 50%",265.7333,274.7333
"IGScottReach Mean Ann Fishing Days","HW",2030,"CMIP5","Add 30KAF",269.2,274.7333
"IGScottReach Mean Ann Fishing Days","HW",2030,"CMIP5","Baseline",270.2,274.7333
"IGScottReach Mean Ann Fishing Days","HW",2030,"CMIP5","Reduce ET 30%",270.3667,274.7333
"IGScottReach Mean Ann Fishing Days","HW",2030,"CMIP5","Reduce ET 50%",269.6667,274.7333
"IGScottReach Mean Ann Fishing Days","CT",2030,"CMIP3","Add 30KAF",279.0667,274.7333
"IGScottReach Mean Ann Fishing Days","CT",2030,"CMIP3","Baseline",280.3333,274.7333
"IGScottReach Mean Ann Fishing Days","CT",2030,"CMIP3","Reduce ET 30%",280.2667,274.7333
"IGScottReach Mean Ann Fishing Days","CT",2030,"CMIP3","Reduce ET 50%",280.1,274.7333
"IGScottReach Mean Ann Fishing Days","CT",2030,"CMIP5","Add 30KAF",273.9667,274.7333
"IGScottReach Mean Ann Fishing Days","CT",2030,"CMIP5","Baseline",274.9,274.7333
"IGScottReach Mean Ann Fishing Days","CT",2030,"CMIP5","Reduce ET 30%",274.9,274.7333
"IGScottReach Mean Ann Fishing Days","CT",2030,"CMIP5","Reduce ET 50%",274.8333,274.7333
"IGScottReach Mean Ann Fishing Days","WD",2070,"CMIP3","Add 30KAF",285.3,274.7333
"IGScottReach Mean Ann Fishing Days","WD",2070,"CMIP3","Baseline",285.2333,274.7333
"IGScottReach Mean Ann Fishing Days","WD",2070,"CMIP3","Reduce ET 30%",285.7333,274.7333
"IGScottReach Mean Ann Fishing Days","WD",2070,"CMIP3","Reduce ET 50%",285.6667,274.7333
"IGScottReach Mean Ann Fishing Days","WD",2070,"CMIP5","Add 30KAF",284,274.7333
"IGScottReach Mean Ann Fishing Days","WD",2070,"CMIP5","Baseline",284.2667,274.7333
"IGScottReach Mean Ann Fishing Days","WD",2070,"CMIP5","Reduce ET 30%",284.3333,274.7333
"IGScottReach Mean Ann Fishing Days","WD",2070,"CMIP5","Reduce ET 50%",284.1,274.7333
"IGScottReach Mean Ann Fishing Days","WW",2070,"CMIP3","Add 30KAF",261.6667,274.7333
"IGScottReach Mean Ann Fishing Days","WW",2070,"CMIP3","Baseline",262.8667,274.7333
"IGScottReach Mean Ann Fishing Days","WW",2070,"CMIP3","Reduce ET 30%",262.6,274.7333
"IGScottReach Mean Ann Fishing Days","WW",2070,"CMIP3","Reduce ET 50%",262.3333,274.7333
"IGScottReach Mean Ann Fishing Days","WW",2070,"CMIP5","Add 30KAF",268.4333,274.7333
"IGScottReach Mean Ann Fishing Days","WW",2070,"CMIP5","Baseline",269.2,274.7333
"IGScottReach Mean Ann Fishing Days","WW",2070,"CMIP5","Reduce ET 30%",268.9667,274.7333
"IGScottReach Mean Ann Fishing Days","WW",2070,"CMIP5","Reduce ET 50%",268.9333,274.7333
"IGScottReach Mean Ann Fishing Days","HD",2070,"CMIP3","Add 30KAF",285.0667,274.7333
"IGScottReach Mean Ann Fishing Days","HD",2070,"CMIP3","Baseline",285.0333,274.7333
"IGScottReach Mean Ann Fishing Days","HD",2070,"CMIP3","Reduce ET 30%",285.8667,274.7333
"IGScottReach Mean Ann Fishing Days","HD",2070,"CMIP3","Reduce ET 50%",286.8,274.7333
"IGScottReach Mean Ann Fishing Days","HD",2070,"CMIP5","Add 30KAF",280.6333,274.7333
"IGScottReach Mean Ann Fishing Days","HD",2070,"CMIP5","Baseline",280.4,274.7333
"IGScottReach Mean Ann Fishing Days","HD",2070,"CMIP5","Reduce ET 30%",281.5,274.7333
"IGScottReach Mean Ann Fishing Days","HD",2070,"CMIP5","Reduce ET 50%",281.6667,274.7333
"IGScottReach Mean Ann Fishing Days","HW",2070,"CMIP3","Add 30KAF",262.0667,274.7333
"IGScottReach Mean Ann Fishing Days","HW",2070,"CMIP3","Baseline",261.2333,274.7333
"IGScottReach Mean Ann Fishing Days","HW",2070,"CMIP3","Reduce ET 30%",262.1,274.7333
"IGScottReach Mean Ann Fishing Days","HW",2070,"CMIP3","Reduce ET 50%",262.2667,274.7333
"IGScottReach Mean Ann Fishing Days","HW",2070,"CMIP5","Add 30KAF",247.0333,274.7333
"IGScottReach Mean Ann Fishing Days","HW",2070,"CMIP5","Baseline",247.0667,274.7333
"IGScottReach Mean Ann Fishing Days","HW",2070,"CMIP5","Reduce ET 30%",247.6333,274.7333
"IGScottReach Mean Ann Fishing Days","HW",2070,"CMIP5","Reduce ET 50%",247.3,274.7333
"IGScottReach Mean Ann Fishing Days","CT",2070,"CMIP3","Add 30KAF",271.4333,274.7333
"IGScottReach Mean Ann Fishing Days","CT",2070,"CMIP3","Baseline",271.4,274.7333
